Song 	 Genre 	 Stream 	 Tags 	 Likes/Days 	 Map 	 Mapper 
That’s Life – Frank Sinatra	 - 	https://www.youtube.com/watch?v=TnlPtaPxXfc	360 DEGREE, 90 DEGREE	=(75-0)/2	https://bsaber.com/songs/bdc7/	https://bsaber.com/tag/techbutterfly
Never Gonna Give You Up (Well Mapped+Timed Version)	 - 	https://www.youtube.com/watch?v=dQw4w9WgXcQ	-	=(84-3)/3	https://bsaber.com/songs/bd45/	https://bsaber.com/tag/thelightdesigner
Everyday – Virtual Riot	 - 	https://www.youtube.com/watch?v=C_cQ3zpX-VU	-	=(46-0)/5	https://bsaber.com/songs/bbf5/	https://bsaber.com/tag/wemadethis
Fireflies – Owl City	 - 	https://www.youtube.com/watch?v=psuRGfAaju4	-	=(57-1)/3	https://bsaber.com/songs/bd41/	https://bsaber.com/tag/tranch
Portal 2 – Turret Opera / Cara Mia Addio	 - 	https://www.youtube.com/watch?v=tL_TFXbSnLY	-	=(50-1)/3	https://bsaber.com/songs/bd23/	https://bsaber.com/tag/jokidum
Kuchibairo no Oto	 - 	https://www.youtube.com/watch?v=CYIntGsjNMs	-	=(32-0)/2	https://bsaber.com/songs/be25/	https://bsaber.com/tag/emir
Kurenai [Taiko no Tatsujin Soundtrack] – X Japan	 - 	https://www.youtube.com/watch?v=wa1nD_IwbkA	-	=(29-0)/4	https://bsaber.com/songs/bca5/	https://bsaber.com/tag/joetastic
You Are Mine ft Kayliana – S3RL	 - 	https://www.youtube.com/watch?v=FF3Dr3_h0Hw	DANCE, EDM, HARDCORE	=(39-1)/6	https://bsaber.com/songs/bba4/	https://bsaber.com/tag/xscaramouche
Renai Circulation [22/7 Soundtrack] – Ayaka Tachikawa	 - 	https://www.youtube.com/watch?v=lv8qOhDx6Yo	ANIME, J-POP, SOUNDTRACK	=(38-1)/6	https://bsaber.com/songs/bb96/	https://bsaber.com/tag/joetastic
Fruit Ninja in Beat Saber!	 - 	https://www.youtube.com/watch?v=OmyMGSu-Wgg	-	=(61-4)/6	https://bsaber.com/songs/bb27/	https://bsaber.com/tag/nitronikexe
JVNA – Catch Me (Chroma RGB lights)	 - 	https://www.youtube.com/watch?v=g9iPElq4qW4	ELECTRONIC	=(48-3)/4	https://bsaber.com/songs/bc4e/	https://bsaber.com/tag/nitronikexe
Fleetwood Mac – Hold Me	 - 	https://www.youtube.com/watch?v=E0sha1XfHxw	-	=(22-0)/5	https://bsaber.com/songs/bbd1/	https://bsaber.com/tag/majorpickle
ANIMA (TV Size) [Sword Art Online: Alicization – War of Underworld Part 2 Opening] – ReoNa	 - 	https://www.youtube.com/watch?v=ISV28NbBDlc	ANIME, J-POP	=(30-1)/2	https://bsaber.com/songs/bdac/	https://bsaber.com/tag/joetastic
Hollowness – Minami	 - 	https://www.youtube.com/watch?v=HIRiduzNLzQ	-	=(21-0)/4	https://bsaber.com/songs/bc84/	https://bsaber.com/tag/tootie
дора – Дорадура (Doradura)	 - 	https://www.youtube.com/watch?v=WNadEfGnV04	-	=(21-0)/2	https://bsaber.com/songs/bdfc/	https://bsaber.com/tag/kaleeidoscope
Aether and Light	 - 	https://www.youtube.com/watch?v=87eOiQeqNfQ	-	=(29-1)/3	https://bsaber.com/songs/bd63/	https://bsaber.com/tag/lespookyboi
ハロハワユ – Hello how are you – ナノウ – feat.Hatsune Miku	 - 	https://www.youtube.com/watch?v=yUi0gX3fUbw	-	=(20-0)/2	https://bsaber.com/songs/be21/	https://bsaber.com/tag/tons%20gaming%20channel
Moe Shop – WWW (feat. EDOGA-SULLIVAN) VS Map	 - 	https://www.youtube.com/watch?v=68UlL5Op9q4	-	=(19-0)/1	https://bsaber.com/songs/bea4/	https://bsaber.com/tag/kikaeaeon
Ayase | Last Resort | Ft. Ado	 - 	https://www.youtube.com/watch?v=slcfa-0urok	-	=(18-0)/4	https://bsaber.com/songs/bc99/	https://bsaber.com/tag/aaltopahwi
Akiyama Uni – Odoru Mizushibuki / あきやま うに – 踊る水飛沫	 - 	https://www.youtube.com/watch?v=KDBZgsIoLtg	-	=(24-1)/5	https://bsaber.com/songs/bc34/	https://bsaber.com/tag/xace1337manx
