Song 	 Genre 	 Stream 	 Tags 	 Likes/Days 	 Map 	 Mapper 
Rameses B – Children	 - 	https://www.youtube.com/watch?v=tYEnkD_hPB4	-	=(47-0)/5	https://bsaber.com/songs/c072/	https://bsaber.com/tag/pkdan
The Clash – Rock the Casbah	 - 	https://www.youtube.com/watch?v=bJ9r8LMU9bQ	-	=(43-0)/2	https://bsaber.com/songs/c269/	https://bsaber.com/tag/ryger
Jigsaw Puzzle – mafumafu	 - 	https://www.youtube.com/watch?v=6RueqJzQQ78	-	=(34-0)/0.9583333333333334	https://bsaber.com/songs/c327/	https://bsaber.com/tag/siro
DANCE! VR DANCE! – KurageP	 - 	https://www.youtube.com/watch?v=-PgwpwD_WIc	-	=(30-0)/7	https://bsaber.com/songs/bec5/	https://bsaber.com/tag/monteblanco
Pegboard Nerds – Rhythm Is A Dancer (ft. Tia Simone)	 - 	https://www.youtube.com/watch?v=oOMWyXPWycI	-	=(59-3)/3	https://bsaber.com/songs/c213/	https://bsaber.com/tag/nitronikexe
The Foundations – Build Me Up Buttercup	 - 	https://www.youtube.com/watch?v=Nl_2iEP1Wts	-	=(29-0)/2	https://bsaber.com/songs/c25c/	https://bsaber.com/tag/majorpickle
Can’t Take My Eyes Off Of You – Frankie Valli	 - 	https://www.youtube.com/watch?v=J36z7AnhvOM	90 DEGREE	=(39-1)/1	https://bsaber.com/songs/c306/	https://bsaber.com/tag/techbutterfly
Voice (TV Size) [Chuunibyou demo Koi ga Shitai! Ren Opening] – ZAQ	 - 	https://www.youtube.com/watch?v=QUnT3Hw7gEo	ANIME, J-POP	=(28-0)/6	https://bsaber.com/songs/bf04/	https://bsaber.com/tag/joetastic
Boom Clap – Charli XCX	 - 	https://www.youtube.com/watch?v=AOPMlIIg_38	ELECTROPOP, POP	=(26-0)/0.7916666666666666	https://bsaber.com/songs/c345/	https://bsaber.com/tag/novashaft
[Alphabeat – Pegboard Nerds Pack] Pegboard Nerds – Luigi’s Mansion	 - 	https://www.youtube.com/watch?v=haas3N9vxsM	360 DEGREE, 90 DEGREE	=(26-0)/3	https://bsaber.com/songs/c209/	https://bsaber.com/tag/rayman9515
Last Of Me [Arknights Soundtrack] – Steve Aoki ft. RUNN	 - 	https://www.youtube.com/watch?v=XJwhQ_9MFuA	ELECTRONIC, VIDEO GAME	=(25-0)/4	https://bsaber.com/songs/c157/	https://bsaber.com/tag/joetastic
kz-livetune – Tell Your World – feat. Hatsune Miku	 - 	https://www.youtube.com/watch?v=PqJNc9KVIZE	-	=(34-1)/3	https://bsaber.com/songs/c1fb/	https://bsaber.com/tag/fefy
[Alphabeat – Pegboard Nerds Pack] Pegboard Nerds – Disconnected	 - 	https://www.youtube.com/watch?v=MwSkC85TDgY	-	=(34-1)/3	https://bsaber.com/songs/c208/	https://bsaber.com/tag/timeweaver
[Alphabeat – Pegboard Nerds Pack] Pegboard Nerds – Gunslinga	 - 	https://www.youtube.com/watch?v=vIaPWxMPhug	360 DEGREE, 90 DEGREE	=(24-0)/3	https://bsaber.com/songs/c205/	https://bsaber.com/tag/rayman9515
Monster [Arknights Soundtrack] – Starset	 - 	https://www.youtube.com/watch?v=Bq6IuZIJhuI	PROGRESSIVE, ROCK, VIDEO GAME	=(42-2)/2	https://bsaber.com/songs/c29a/	https://bsaber.com/tag/joetastic
Michael Jackson – Off the Wall	 - 	https://www.youtube.com/watch?v=B3MFbhwfEXU	-	=(23-0)/5	https://bsaber.com/songs/c083/	https://bsaber.com/tag/ryger
ShinRa-Bansho | Maids Heart Is A Puppet (Chroma RGB)	 - 	https://www.youtube.com/watch?v=4DtIj9AJG2E	-	=(31-1)/5	https://bsaber.com/songs/c002/	https://bsaber.com/tag/aaltopahwi
Get It Right – Left Boy	 - 	https://www.youtube.com/watch?v=rmhprK9fJiw	-	=(21-0)/3	https://bsaber.com/songs/c218/	https://bsaber.com/tag/johnnydee
Apashe – I’m A Dragon (ft. Sway)	 - 	https://www.youtube.com/watch?v=FZs3MbhE8_g	-	=(29-1)/4	https://bsaber.com/songs/c08c/	https://bsaber.com/tag/nitronikexe
