Song	Genre	Youtube	Tags	Map	Mapper
Over You iFeature	Electronic	https://www.youtube.com/watch?v=U4puAO4rLdc	drumstep, dnb, drum, and, bass, dubstep, wub, english, dance, electronic, ren, reform, kujinn, fuju, chiga	https://osu.ppy.sh/beatmapsets/1094434	https://osu.ppy.sh/users/5156153
Vitamins feat. world's end girlfriend Mili	Electronic	https://www.youtube.com/watch?v=sA5xYUGet2g	3rd, worlds, millenium, mother, project, saihate, records, sncl-00018, sncl-00017, sncl-00016, indie, dance, electronic, english, full, version, female, vocalist, vocals, 2018	https://osu.ppy.sh/beatmapsets/1229050	https://osu.ppy.sh/users/8972308
AngelFalse Sakuzyo	Video Game	https://www.youtube.com/watch?v=maXsM_NFTFo	shima, rin, de-cade, tofu1222, comic, market, 91, c91, collection, 29, electronic, instrumental, classical, video, games, piano, keysound	https://osu.ppy.sh/beatmapsets/1125774	https://osu.ppy.sh/users/3734394
The Devourer of Gods (Nonstop Mix) DM DOKURO	Video Game	https://www.youtube.com/watch?v=wjOj_6cMGEY	video, game, electronic, instrumental, theme, scourge, servants, of, the, universe, universal, collapse, storm, weaver, ceaseless, void, signus, envoy, of, the	https://osu.ppy.sh/beatmapsets/1205309	https://osu.ppy.sh/users/3378391
Cranberry City (Extended Mix) lapix feat. Luschel	Video Game	https://www.youtube.com/watch?v=0pRWhzQ-CyM	english, garage, pop, video, rhythm, game, original, soundtrack, selection, 5th, album, mrx-060, megarex, rizing, destruction, disc, 1, bemani, konami, version	https://osu.ppy.sh/beatmapsets/1197933	https://osu.ppy.sh/users/6502903
Nemureru Honnou (TV Size) YURiKA	Anime	https://www.youtube.com/watch?v=vin0sr7RAsQ	ayyri, trynna, ビースターズ, ending, ed, 2, japanese, anime, furry, sleeping, instinct	https://osu.ppy.sh/beatmapsets/1158834	https://osu.ppy.sh/users/3388410
Fuyu no Hanashi Given	Anime	https://www.youtube.com/watch?v=YND9-kErbQc	mocaotic, baar_vendel, fuyunohanashi, marutsuke, the, seasons, センチミリメンタル, centimilli, mental, centimillimental, anime, japanese, insert, song, yaoi, bl, boys, love, shounen, ai	https://osu.ppy.sh/beatmapsets/1188243	https://osu.ppy.sh/users/11787713
Everybody Loves Me OneRepublic	Rock	https://www.youtube.com/watch?v=j8sb_Or0FUs	waking, up, daycore, one, republic, interscope, records, english, pop, alternative, rock	https://osu.ppy.sh/beatmapsets/1171113	https://osu.ppy.sh/users/12511572
NEW The Winking Owl	Rock	https://www.youtube.com/watch?v=vGR5MeEXPn0	j-rock, japanese, rock, thanksラブレター, thanks, love, letter	https://osu.ppy.sh/beatmapsets/1092559	https://osu.ppy.sh/users/6064571
WHAT THE CAT!? Camellia	Electronic	https://www.youtube.com/watch?v=6s0Z8U3X30A	featured, artist, fa, edm, electronic, cametek, kamelcamellia, かめるかめりあ, tf40k, ep, e.p., thanks, twitter, followers, instrumental	https://osu.ppy.sh/beatmapsets/1063740	https://osu.ppy.sh/users/9555243
Ryokugan no Jealousy ZUN	Video Game	https://www.youtube.com/watch?v=H40xzc2XwZY	green-eyed, jealousy, 東方project, sa, th11, instrumental, video, game, 水橋パルスィ, taikosu, tarrasky, shanghai, alice, gengakudan, team, shanghai, alice, project, parsee, mizuhashi	https://osu.ppy.sh/beatmapsets/999586	https://osu.ppy.sh/users/5099768
209 Bandouro (Hiru) Satou Hitomi	Video Game	https://www.youtube.com/watch?v=ZhPEB6bDyRo	pokemon, diamond, pearl, platinum, game, freak, nintendo, creature, inc., tpci, ost, junichi, masuda, gō, ichinose, morikazu, aoki, ken, sugimori, sanyi	https://osu.ppy.sh/beatmapsets/1009241	https://osu.ppy.sh/users/7592136
Yukitoki yanaginagi	Anime	https://www.youtube.com/watch?v=QvFzfj-3Qvo	yanagi, nagi, yahari, ore, no, seishun, love, come, wa, machigatteiru., oregairu, follow, my, tracks, alternative, full, version, 北川勝利, katsutoshi, kitagawa	https://osu.ppy.sh/beatmapsets/1216983	https://osu.ppy.sh/users/3513559
GIANTS (feat. Becky G, Keke Palmer, SOYEON, DUCKWRTH, Thutmose) True Damage	Video Game	https://www.youtube.com/watch?v=sVZpHFXcFJw	(g)i-dle, akali, yasuo, qiyana, senna, ekko, salty, sanzu_alternate, hip-hop, rap, video, game, riot, games, music, team, popstars, kda, worlds, 2019	https://osu.ppy.sh/beatmapsets/1063804	https://osu.ppy.sh/users/3906405
I'M A BELIEVER (TV Size) SPYAIR	Anime	https://www.youtube.com/watch?v=QbTsjBUXNjI	xandit, 2nd, second, season, im, japanese, anime, opening, rock, j-rock, jrock, male, vocal, haikyu!!, haikyuu!!	https://osu.ppy.sh/beatmapsets/1200805	https://osu.ppy.sh/users/11077540
Wrong Enemy !? toby fox	Video Game	https://www.youtube.com/watch?v=lN9JsxrI4v8	under, tale, chiptune, video, game, so, sorry, ost, original, soundtrack, electronic, instrumental, hidden, boss, battle	https://osu.ppy.sh/beatmapsets/1219095	https://osu.ppy.sh/users/8071438
