Song	Genre	Youtube	Tags	Map	Mapper	Likes/Days
The Spectre – Wallmap	-	https://www.youtube.com/watch?v=27c-G3F9wj4	-	https://bsaber.com/songs/e01a/	https://bsaber.com/tag/rizthesnuggie	=(76-0)/1
Matrix & Futurebound – Control (ft. Max Marshall)	-		-	https://bsaber.com/songs/dda2/	https://bsaber.com/tag/pkdan	=(54-0)/5
K/DA – THE BADDEST ft. (G)I-DLE, Bea Miller, Wolftyla	-	https://www.youtube.com/watch?v=RkID8_gnTxw	360 DEGREE	https://bsaber.com/songs/dfc3/	https://bsaber.com/tag/kikaeaeon	=(120-7)/2
yasuoP – Electric Angel/えれくとりっく・えんじぇぅ – Kagamine Rin Kagamine Ren – ArrangeCover 【Wall Map】(Fixed)	-	https://www.youtube.com/watch?v=vLEV9SY7M7k	-	https://bsaber.com/songs/dd1d/	https://bsaber.com/tag/fefy	=(65-2)/6
THE BADDEST (ft. (G)I-DLE, Bea Miller, Wolftyla) – K/DA	-	https://www.youtube.com/watch?v=RkID8_gnTxw	-	https://bsaber.com/songs/def1/	https://bsaber.com/tag/thelightdesigner	=(92-5)/3
Gonna Get Funky – GRiZ	-	https://www.youtube.com/watch?v=Pz6aFkw5vy0	-	https://bsaber.com/songs/dcfc/	https://bsaber.com/tag/ryger	=(34-0)/7
Lost It – Virtual Riot ft. Pearl Andersson	-	https://www.youtube.com/watch?v=rs6z63w-UcU	-	https://bsaber.com/songs/dffa/	https://bsaber.com/tag/xcheesy	=(32-0)/1
[Jubeat] ぺのれり- Fairy Fair [WallMap]	-	https://www.youtube.com/watch?v=dE4mFNUkDkE	-	https://bsaber.com/songs/de3d/	https://bsaber.com/tag/kamy	=(30-0)/4
Danny Elfman – This Is Halloween	-	https://www.youtube.com/watch?v=ClowdBJ-AO0	-	https://bsaber.com/songs/dd10/	https://bsaber.com/tag/olfah	=(27-0)/7
Donkey Donk – Ryu☆	-	https://www.youtube.com/watch?v=eqra3YGEa4k	-	https://bsaber.com/songs/deea/	https://bsaber.com/tag/ejiejidayo	=(35-1)/3
Kobaryo – Theme for Psychopath Justice	-	https://www.youtube.com/watch?v=yNjcuoYXQMo	-	https://bsaber.com/songs/de01/	https://bsaber.com/tag/cerret	=(25-0)/5
164 – 天ノ弱 feat.GUMI【BEGINNER】	-	https://www.youtube.com/watch?v=2-zPY0vrpjQ	-	https://bsaber.com/songs/df46/	https://bsaber.com/tag/maso	=(24-0)/2
DECO27 – Ghost Rule feat. Hatsune Miku【BEGINNER】	-	https://www.youtube.com/watch?v=KushW6zvazM	-	https://bsaber.com/songs/de20/	https://bsaber.com/tag/maso	=(32-1)/4
Henry Stickmin – Distraction Dance	-	https://www.youtube.com/watch?v=6XK4S8OQPuU	-	https://bsaber.com/songs/df72/	https://bsaber.com/tag/pink	=(29-1)/2
DECO27 – HIBANA feat. Hatsune Miku【BEGINNER】	-	https://www.youtube.com/watch?v=hxSg2Ioz3LM	-	https://bsaber.com/songs/dfd6/	https://bsaber.com/tag/maso	=(19-0)/1
Highway to Hell – AC/DC	-	https://www.youtube.com/watch?v=l482T0yNkeo	-	https://bsaber.com/songs/e01c/	https://bsaber.com/tag/jokidum	=(35-2)/1
Hirahashi Book Store – Network 【Wall Map】(Fixed)	-	https://www.youtube.com/watch?v=Odilmiywhjs	-	https://bsaber.com/songs/dd1c/	https://bsaber.com/tag/fefy	=(27-1)/6
Boogie Back [Dragon Ball Super 8th Ending] – Miyu Inoue	-	https://www.youtube.com/watch?v=hNulDbfmaw0	ANIME, J-POP	https://bsaber.com/songs/dfee/	https://bsaber.com/tag/joetastic	=(16-0)/1
MARETU – Venom (MARETU Remix)	-	https://www.youtube.com/watch?v=0E4W1BvrIYM	-	https://bsaber.com/songs/dd88/	https://bsaber.com/tag/x100110x	=(15-0)/6
Vengaboys – Boom Boom Boom Boom!! (Prezioso, Alyon & Mylian Bootleg)	-	https://www.youtube.com/watch?v=9zc2-Jx5100	-	https://bsaber.com/songs/dd25/	https://bsaber.com/tag/dyprax83	=(14-0)/6
