Song 	 Genre 	 Stream 	 Tags 	 Score 	 Map 	 Mapper 
UNION!! 765 MILLION ALLSTARS	 - 	https://www.youtube.com/watch?v=fPdvAh6HYHo	ascendance, ajamez, jemzuu, seiran-, fu3ya_, video, game, アイマス, ミリマス, ミリシタ, idolmaster, 堀江晶太, imas, im@s, 765pro, idolm@ster, million, live, the@ter, generation		https://osu.ppy.sh/beatmapsets/1205919	https://osu.ppy.sh/users/702598
Hakkensha wa Watashi (TV Size) Tapimiru	 - 	https://www.youtube.com/watch?v=5RYZbjLN6mo	zero, kara, hajimeru, mahou, no, sho, grimoire, of, zero, opening, op, anime, short, ver, version, female, vocals, browiec, riana, armin		https://osu.ppy.sh/beatmapsets/829331	https://osu.ppy.sh/users/9000308
Today is Gonna be a Great Day (TV Size) Bowling For Soup	 - 	None	english, rock, cartoon, disney, channel, nymphe, kuki1537, browiec, kiyoshi, guarden, perry, the, platypus		https://osu.ppy.sh/beatmapsets/1209835	https://osu.ppy.sh/users/10726630
Heart Signal (TV Size) Hatano Wataru	 - 	https://www.youtube.com/watch?v=PRhe9Nq4mF4	sun, rainbow, sun_rainbow, beren, sandrew, kanor, higeo, 彦田元気, genki, hikota, hitorijime, my, hero, op, opening, tv, size, yaoi, boys, love		https://osu.ppy.sh/beatmapsets/1193294	https://osu.ppy.sh/users/4030114
Artificial Chariot Riya	 - 	https://www.youtube.com/watch?v=HHbTuZkl-yo	hardstyle, electronic, video, game, instrumental, _tranquility		https://osu.ppy.sh/beatmapsets/1131887	https://osu.ppy.sh/users/4800816
Sassou Toujou! Neko-san Kuroha Neko (CV: Taneda Risa)	 - 	https://www.youtube.com/watch?v=VfhffZxG9Jo	gokukoku, no, brynhildr, in, the, darkness, female, vocals, japanese, anime, pop, jpop, j-pop		https://osu.ppy.sh/beatmapsets/1222043	https://osu.ppy.sh/users/12084288
Tenkyou no Alderamin (TV Size) KISIDA KYODAN & THE AKEBOSI ROCKETS	 - 	https://www.youtube.com/watch?v=t8XyZdleAqg	japanese, j-rock, jrock, rock, nejimaki, seirei, senki, ichigo, kishida, kyoudan, akeboshi, reform, kujinn, mnyui, basensorex, and, kowari, on, the, sky		https://osu.ppy.sh/beatmapsets/1219599	https://osu.ppy.sh/users/9327302
Ano Basho e Sanada Kanra (CV: M.A.O)	 - 	https://www.youtube.com/watch?v=SKHTfEn0Y_Y	j-pop, jpop, japanese, pop, galgame, opening, visual, novel, 真田, 甘楽, gust, pinkheart, blockade, tomatosiruco, qoobrand, 古川龙也		https://osu.ppy.sh/beatmapsets/908157	https://osu.ppy.sh/users/1205412
Luna KINEMA106	 - 	https://www.youtube.com/watch?v=6W4L2O-JQ-w	ray, 零, tom, kurousagi, uru, 黒兎ウル, jun-jun, comiket, 98, c98, april, fools, fgo, f/go, fate, grand, order, tsukihime, 月姫, typemoon		https://osu.ppy.sh/beatmapsets/1153323	https://osu.ppy.sh/users/7605060
Unknown Actor (feat. Ishadoh Sakura) Raito	 - 	https://www.youtube.com/watch?v=EQCFvLwdwNo	jeiryagtama, under, night, in-birth, exe:late[st]., unist, french-bread, japanese, video, game		https://osu.ppy.sh/beatmapsets/1147176	https://osu.ppy.sh/users/7483452
Journey ARForest	 - 	https://www.youtube.com/watch?v=VcjzHMhBtf0	video, game, instrumental, electronic, artcore, noxy, games, newton-, stack, ggf, gottagof4st, _tranquility, namki, altai		https://osu.ppy.sh/beatmapsets/788907	https://osu.ppy.sh/users/4800816
Last of Me CircusP	 - 	https://www.youtube.com/watch?v=XJwhQ_9MFuA	ayyri, trynna, circus-p, featured, artist, fa, english, electronic, vocaloid, megurine, luka, 巡音ルカ		https://osu.ppy.sh/beatmapsets/1165972	https://osu.ppy.sh/users/3388410
EMPEROR OF THE AVALON L.E.D.-G	 - 	https://www.youtube.com/watch?v=xm8qqu4M_Kg	pastel, adventure, gabber, hardcore, electronic, instrumental, acyl, led-g, toshiyuki, kakuta, konami, bemani, video, game, arcade, rhythm		https://osu.ppy.sh/beatmapsets/1190926	https://osu.ppy.sh/users/1943309
For A Pessimist, I'm Pretty Optimistic Paramore	 - 	https://www.youtube.com/watch?v=B1o2UCLvD38	riot!, fueled, by, ramen, hayley, williams, josh, farro, pop, punk, rock, english, cut, version, emo, str0mboli, stromboli, jub		https://osu.ppy.sh/beatmapsets/1125952	https://osu.ppy.sh/users/3056732
SORRIZO RONALDO Milharal	 - 	https://www.youtube.com/watch?v=iSqJwuNJHBI	mega, se, piscar, jÁ, ja, era, do, marcelo, souza, júnior, funk, electronic, português, portuguese, cut, version		https://osu.ppy.sh/beatmapsets/807972	https://osu.ppy.sh/users/3044264
Regret ARForest	 - 	https://www.youtube.com/watch?v=HvUHLn0iTA8	electronic, instrumental, frost, era, nara_nb		https://osu.ppy.sh/beatmapsets/1184228	https://osu.ppy.sh/users/6637817
