Song 	 Genre 	 Stream 	 Tags 	 Likes/Days 	 Map 	 Mapper 
Geoxor – Gloom [Wallmap] V2	 - 	https://www.youtube.com/watch?v=JSSbGI3Qhbs	-	=(58-0)/3	https://bsaber.com/songs/d7fa/	https://bsaber.com/tag/minething
[FUTURE FUNK PACK] Shiawase No Monosashi (VANTAGE // Short Ver.)	 - 	https://www.youtube.com/watch?v=spN2_Tuw9hE	FUTURE FUNK, J-POP, JAPANESE	=(53-1)/7	https://bsaber.com/songs/d4a5/	https://bsaber.com/tag/etan
[FUTURE FUNK PACK] You Look So Good – Moe Shop	 - 	https://www.youtube.com/watch?v=sZwN9kPzpWA	80'S, ELECTRO HOUSE, FUTURE FUNK, JAPANESE	=(29-0)/5	https://bsaber.com/songs/d60c/	https://bsaber.com/tag/etan
[FUTURE FUNK PACK] Idolstep Dreaming – Mikazuki BIGWAVE	 - 	https://www.youtube.com/watch?v=bzyxi-6hTkY	80'S, FUTURE FUNK, J-POP, JAPANESE	=(29-0)/6	https://bsaber.com/songs/d565/	https://bsaber.com/tag/etan
[FUTURE FUNK PACK] September – Tenma Tenma	 - 	https://www.youtube.com/watch?v=6VsJgk5Qw6s	80'S, FUTURE FUNK, J-POP, JAPANESE	=(39-1)/6	https://bsaber.com/songs/d55f/	https://bsaber.com/tag/etan
Elektronomia – Summer Vibes	 - 	https://www.youtube.com/watch?v=gPmjeUHI3cs	-	=(39-1)/6	https://bsaber.com/songs/d51e/	https://bsaber.com/tag/weldonwen
Skrillex – Fuji Opener (Virtual Riot & Xomega Remix)	 - 	https://www.youtube.com/watch?v=EzG5segvGwE	-	=(39-1)/4	https://bsaber.com/songs/d6a6/	https://bsaber.com/tag/pkdan
[FUTURE FUNK PACK] Megumi no Hito (Night Tempo Showa Groove Mix)	 - 	https://www.youtube.com/watch?v=yOi1D5ifY20	80'S, FUTURE FUNK, J-POP, JAPANESE	=(37-1)/7	https://bsaber.com/songs/d4a4/	https://bsaber.com/tag/etan
Twice – LIKEY	 - 	https://www.youtube.com/watch?v=V2hlQkVJZhE	-	=(24-0)/3	https://bsaber.com/songs/d771/	https://bsaber.com/tag/simplymarvellous
Starlight – B3LLA (feat. Reichuu)	 - 	https://www.youtube.com/watch?v=iFj15hw7bxE	-	=(23-0)/3	https://bsaber.com/songs/d7c7/	https://bsaber.com/tag/minething
Laur – Metamorphose	 - 	https://www.youtube.com/watch?v=kFTH7lVxX-Q	-	=(21-0)/3	https://bsaber.com/songs/d762/	https://bsaber.com/tag/riseumuruq
Don’t Stop – KUURO	 - 	https://www.youtube.com/watch?v=HkCsiBwQ2lk	-	=(20-0)/0.75	https://bsaber.com/songs/d608/	https://bsaber.com/tag/timeweaver
[Extra Sensory] LeaF – Doppelganger	 - 	https://www.youtube.com/watch?v=hQ6XfTG2vHM	-	=(177-28)/6	https://bsaber.com/songs/d53c/	https://bsaber.com/tag/aeroluna
City Lights (somunia nyankobrq Remix)	 - 	https://www.youtube.com/watch?v=dWRz2ZR-Tfw	-	=(16-0)/4	https://bsaber.com/songs/d6b2/	https://bsaber.com/tag/mux
Coffin Dance (Camellia Remix)	 - 	https://www.youtube.com/watch?v=PqJTTEqB5WU	-	=(36-3)/6	https://bsaber.com/songs/d574/	https://bsaber.com/tag/that_narwhal
[FUTURE FUNK PACK] Tokyo Chopp ft. Shiki(TMNS) (Moe Shop Remix)	 - 	https://www.youtube.com/watch?v=B33EyOOaGwM	80'S, ELECTRO HOUSE, FUTURE FUNK, JAPANESE, RAP	=(14-0)/5	https://bsaber.com/songs/d60d/	https://bsaber.com/tag/etan
Knife Party – Bonfire	 - 	https://www.youtube.com/watch?v=e-IWRmpefzE	-	=(14-0)/3	https://bsaber.com/songs/d79d/	https://bsaber.com/tag/slimyblob
Precious Summer !	 - 	https://www.youtube.com/watch?v=NuKUrnSDWsQ	-	=(13-0)/5	https://bsaber.com/songs/d610/	https://bsaber.com/tag/emir
Dream X Scramble	 - 	https://www.youtube.com/watch?v=Cq9cM0D_fZU	-	=(11-0)/7	https://bsaber.com/songs/d4b7/	https://bsaber.com/tag/epg7ens
DenporuP – World on Color – feat. Hatsune Miku	 - 	https://www.youtube.com/watch?v=NY__VTIUsiU	-	=(11-0)/6	https://bsaber.com/songs/d523/	https://bsaber.com/tag/fefy
