Song	Genre	Youtube	Tags	Map	Mapper	Likes/Days
[Extra Sensory] Hayako – Analys	-	https://www.youtube.com/watch?v=NFVv9iWKMkU	ELECTRONIC, MOD CHART	https://bsaber.com/songs/d00c/	https://bsaber.com/tag/reaxt	=(1201-36)/14
We’ll Meet Again	-	https://www.youtube.com/watch?v=hJqYc62NCKo	-	https://bsaber.com/songs/c767/	https://bsaber.com/tag/reddek	=(308-7)/28
[Extra Sensory] Mick Gordon – At DOOM’s Gate	-	https://www.youtube.com/watch?v=zw3iURtF8KM	HARD ROCK, MOD CHART, VIDEO GAME, WALL ART	https://bsaber.com/songs/cb19/	https://bsaber.com/tag/cyansnow/	=(681-32)/21
Blinding Lights – The Weeknd	-	https://www.youtube.com/watch?v=4NRXx6U8ABQ	ELECTRONIC, R&B, SYNTHPOP, SYNTHWAVE	https://bsaber.com/songs/7d04/	https://bsaber.com/tag/xcheesy	=(421-15)/21
Jackpot	-	https://www.youtube.com/watch?v=kL8CyVqzmkc	-	https://bsaber.com/songs/c3bb/	https://bsaber.com/tag/aqu	=(233-4)/28
Ghost V2	-	https://www.youtube.com/watch?v=Pm04OKfIXOs	-	https://bsaber.com/songs/c536/	https://bsaber.com/tag/krydar	=(233-4)/28
Kings & Queens – Ava Max	-	https://www.youtube.com/watch?v=zU7co2-yn_Q	-	https://bsaber.com/songs/ca40/	https://bsaber.com/tag/edmard	=(332-10)/21
Bohemian Rhapsody – Queen	-	https://www.youtube.com/watch?v=fJ9rUzIMcZQ	-	https://bsaber.com/songs/d0be/	https://bsaber.com/tag/jokidum	=(358-12)/14
Everyday – Virtual Riot	-	https://www.youtube.com/watch?v=C_cQ3zpX-VU	-	https://bsaber.com/songs/bbf5/	https://bsaber.com/tag/wemadethis	=(330-11)/21
3rd Prototype – I’m Fine	-	https://www.youtube.com/watch?v=OX3xtVPRh8c	-	https://bsaber.com/songs/ce6d/	https://bsaber.com/tag/lethrial	=(193-3)/14
Seven Lions – Silent Skies (ft. Karra) | [Chroma RGB]	-	https://www.youtube.com/watch?v=jgJ6AmhvmEU	DUBSTEP, EDM	https://bsaber.com/songs/d191/	https://bsaber.com/tag/nitronikexe	=(180-3)/14
Star Wars IV opening crawl (wall art) [NE 1.2]	-	https://www.youtube.com/watch?v=iXDnFYu91vY	INSTRUMENTAL, WALL ART	https://bsaber.com/songs/cd09/	https://bsaber.com/tag/nyri0	=(243-7)/14
ヨルシカ – 花に亡霊	-	https://www.youtube.com/watch?v=9lVPAWLWtWc	-	https://bsaber.com/songs/c4bc/	https://bsaber.com/tag/smileeaglet	=(275-12)/28
In My Heart DJMAX	-	https://www.youtube.com/watch?v=63Rx_jx-Xj8	-	https://bsaber.com/songs/cca8/	https://bsaber.com/tag/mystikmol	=(148-3)/21
MATT DOE – WAKE UP	-	https://www.youtube.com/watch?v=8rgutM5mg44	-	https://bsaber.com/songs/cbcf/	https://bsaber.com/tag/khenab	=(219-8)/21
NIGHT RUNNING [BNA: Brand New Animal Ending] – Shin Sakiura ft. AAAMYYY	-	https://www.youtube.com/watch?v=ea-ThJDGJ1Y	ANIME, J-POP, SOUL	https://bsaber.com/songs/cdd6/	https://bsaber.com/tag/joetastic	=(257-11)/14
Windows XP Startup	-	https://www.youtube.com/watch?v=7nQ2oiVqKHw	-	https://bsaber.com/songs/d02f/	https://bsaber.com/tag/epicewok	=(429-26)/14
Hey Jude – The Beatles	-	https://www.youtube.com/watch?v=A_MjCqQoLLA	-	https://bsaber.com/songs/cbbe/	https://bsaber.com/tag/jokidum	=(154-4)/21
Blaster	-	https://www.youtube.com/watch?v=9PssVakLXIg	-	https://bsaber.com/songs/c61b/	https://bsaber.com/tag/that_narwhal	=(420-26)/28
cYsmix – Peer Gynt (Chroma 2.0)	-	https://www.youtube.com/watch?v=SlIgmyEZ2Uw	-	https://bsaber.com/songs/d299/	https://bsaber.com/tag/bloodcloak	=(122-2)/7
