Song 	 Genre 	 Stream 	 Tags 	 Likes/Days 	 Map 	 Mapper 
crystallized	 - 	https://www.youtube.com/watch?v=aHjpOzsQ9YI	-	=(251-25)/14	https://bsaber.com/songs/b342/	https://bsaber.com/tag/nomuffn
Ultra Vomit – Le Train Fantome	 - 	https://www.youtube.com/watch?v=ekDFRwtSsMI	-	=(235-23)/14	https://bsaber.com/songs/b336/	https://bsaber.com/tag/vilawes
Halozy – T.R.Y Revolution	 - 	https://www.youtube.com/watch?v=8YvxXM6G8x0	DOUJIN, EDM, POP, TOUHOU	=(122-15)/7	https://bsaber.com/songs/b642/	https://bsaber.com/tag/kivalevan
F-777 – Star Gate	 - 	https://www.youtube.com/watch?v=udMRb2W3pCs	-	=(244-40)/14	https://bsaber.com/songs/b366/	https://bsaber.com/tag/fnyt
Khenab – Temple Of Sound	 - 	https://www.youtube.com/watch?v=uM1emqWdHXs	-	=(173-35)/28	https://bsaber.com/songs/aed7/	https://bsaber.com/tag/khenab
Ice – Zetsu	 - 	https://www.youtube.com/watch?v=bgEM4p2WLZc	-	=(26-3)/5	https://bsaber.com/songs/b775/	https://bsaber.com/tag/nomuffn
Porter Robinson – Fellow Feeling (Isqa Remix)	 - 	https://www.youtube.com/watch?v=rE-_qMz9kr8	-	=(229-60)/21	https://bsaber.com/songs/b2c0/	https://bsaber.com/tag/fatbeanzoop
HE4VEN SDVX	 - 	https://www.youtube.com/watch?v=Hz0srEQDQsM	-	=(202-54)/21	https://bsaber.com/songs/b313/	https://bsaber.com/tag/mystikmol
Himeringo – Kodoku no Kakurenbo	 - 	https://www.youtube.com/watch?v=6LyqCTH2gw0	-	=(23-5)/7	https://bsaber.com/songs/b68c/	https://bsaber.com/tag/therealzeroz
ginkiha x Hommarju x t+pazolite – CROSSING DELTA	 - 	https://www.youtube.com/watch?v=3TPXRrmAU0I	-	=(106-34)/7	https://bsaber.com/songs/b579/	https://bsaber.com/tag/deleteeldiablo
Giga – BRING IT ON ft. Kagamine Rin & Len	 - 	https://www.youtube.com/watch?v=oEkGC2HV7rc	-	=(147-56)/14	https://bsaber.com/songs/b4ff/	https://bsaber.com/tag/coolingcloset
Camellia – epimerization (Short Ver.)	 - 	https://www.youtube.com/watch?v=TXUsUZYcXC0	-	=(162-68)/21	https://bsaber.com/songs/b2f2/	https://bsaber.com/tag/coolingcloset
Camellia – epimerization	 - 	https://www.youtube.com/watch?v=CBOyVyq80Fs	-	=(95-49)/21	https://bsaber.com/songs/b2f3/	https://bsaber.com/tag/fern
Sono Gunjou ga Itoshikatta Youdatta – n-buna feat. Kana Yaginuma	 - 	https://www.youtube.com/watch?v=Ooe3u6YuNBc	-	=(82-50)/7	https://bsaber.com/songs/b639/	https://bsaber.com/tag/uninstaller
